case,mu,signal,series,samples,relative_max_error,relative_l2_error,absolute_max_error,absolute_l2_error,max_error_time,wall_seconds,status,notes
ACTIVSg200,289.427,omega,40,2403,3.599552866941e-03,4.889620959766e-03,3.850057989431e-05,5.965249985823e-04,1.841666666667e+00,0.165449,ok,
ACTIVSg200,289.427,p,40,2403,1.048418735777e-03,2.588078817626e-04,6.293308966801e-03,7.220724692177e-02,2.029166666667e+00,0.165449,ok,
ACTIVSg200,289.427,q,40,2403,1.333523455197e-03,8.233119049605e-04,4.768388234204e-03,2.963453134881e-02,1.175000000000e+00,0.165449,ok,
ACTIVSg200,289.427,vmag,200,2403,6.655418275005e-04,1.423899903924e-04,7.346146201883e-04,7.342964229643e-03,1.491666666667e+00,0.165449,ok,
ACTIVSg200,345.511,omega,40,2403,3.233224140850e-03,4.483018089365e-03,3.458235201774e-05,5.469201767188e-04,1.987500000000e+00,0.168280,ok,
ACTIVSg200,345.511,p,40,2403,9.487569389699e-04,2.347895331590e-04,5.695072348078e-03,6.550614177590e-02,2.020833333333e+00,0.168280,ok,
ACTIVSg200,345.511,q,40,2403,1.304836677078e-03,7.246818326304e-04,4.665810589449e-03,2.608441145769e-02,1.175000000000e+00,0.168280,ok,
ACTIVSg200,345.511,vmag,200,2403,5.708090008143e-04,1.226928235208e-04,6.300500133976e-04,6.327193448530e-03,1.491666666667e+00,0.168280,ok,
ACTIVSg200,412.463,omega,40,2403,3.189078260209e-03,4.146340198436e-03,3.411017059203e-05,5.058460770980e-04,1.987500000000e+00,0.167903,ok,
ACTIVSg200,412.463,p,40,2403,8.538100214210e-04,2.123247672395e-04,5.125137581377e-03,5.923848528590e-02,2.020833333333e+00,0.167903,ok,
ACTIVSg200,412.463,q,40,2403,1.279396460855e-03,6.422791765759e-04,4.574841940012e-03,2.311838597043e-02,1.175000000000e+00,0.167903,ok,
ACTIVSg200,412.463,vmag,200,2403,4.901263194684e-04,1.059010689419e-04,5.409937364460e-04,5.461252992418e-03,1.483333333333e+00,0.167903,ok,
ACTIVSg200,492.388,omega,40,2403,3.142331228552e-03,3.875773799520e-03,3.361016742673e-05,4.728374610809e-04,1.987500000000e+00,0.168399,ok,
ACTIVSg200,492.388,p,40,2403,7.638986526738e-04,1.915337604954e-04,4.585429539309e-03,5.343780662227e-02,2.020833333333e+00,0.168399,ok,
ACTIVSg200,492.388,q,40,2403,1.256708423134e-03,5.739623897052e-04,4.493714478997e-03,2.065937140989e-02,1.175000000000e+00,0.168399,ok,
ACTIVSg200,492.388,vmag,200,2403,4.212190643637e-04,9.161079980298e-05,4.649349901054e-04,4.724312601949e-03,1.483333333333e+00,0.168399,ok,
ACTIVSg200,587.802,omega,40,2403,3.087500796388e-03,3.655365890003e-03,3.302370474311e-05,4.459480909244e-04,1.987500000000e+00,0.164567,ok,
ACTIVSg200,587.802,p,40,2403,6.798155017020e-04,1.726578883297e-04,4.080706350081e-03,4.817144938055e-02,2.012500000000e+00,0.164567,ok,
ACTIVSg200,587.802,q,40,2403,1.236416482769e-03,5.176282370350e-04,4.421154938096e-03,1.863166331620e-02,1.175000000000e+00,0.164567,ok,
ACTIVSg200,587.802,vmag,200,2403,3.622637165983e-04,7.946127940842e-05,3.998610028408e-04,4.097769307587e-03,1.475000000000e+00,0.164567,ok,
ACTIVSg200,701.704,omega,40,2403,3.051786329616e-03,3.484222069418e-03,3.264170516367e-05,4.250688513736e-04,1.987500000000e+00,0.164298,ok,
ACTIVSg200,701.704,p,40,2403,6.019835000879e-04,1.556839125031e-04,3.613506731316e-03,4.343572009980e-02,2.012500000000e+00,0.164298,ok,
ACTIVSg200,701.704,q,40,2403,1.219165663068e-03,4.718885258826e-04,4.359469779600e-03,1.698529467284e-02,1.175000000000e+00,0.164298,ok,
ACTIVSg200,701.704,vmag,200,2403,3.429733687524e-04,6.919874034262e-05,3.785686197471e-04,3.568536479789e-03,1.025000000000e+00,0.164298,ok,
ACTIVSg200,837.678,omega,40,2403,3.009996740818e-03,3.355266182144e-03,3.219472648001e-05,4.093364641178e-04,1.987500000000e+00,0.168151,ok,
ACTIVSg200,837.678,p,40,2403,5.303245196743e-04,1.405131567949e-04,3.183361705669e-03,3.920308817237e-02,2.012500000000e+00,0.168151,ok,
ACTIVSg200,837.678,q,40,2403,1.206957218721e-03,4.349946948553e-04,4.315815052602e-03,1.565732724571e-02,1.025000000000e+00,0.168151,ok,
ACTIVSg200,837.678,vmag,200,2403,3.427711533782e-04,6.055248689194e-05,3.783454175917e-04,3.122654507090e-03,1.025000000000e+00,0.168151,ok,
ACTIVSg200,1000,omega,40,2403,2.976679757883e-03,3.257358333286e-03,3.183837022945e-05,3.973918819340e-04,1.987500000000e+00,0.166904,ok,
ACTIVSg200,1000,p,40,2403,4.650273954989e-04,1.271327697642e-04,2.791404787068e-03,3.546996805387e-02,2.012500000000e+00,0.166904,ok,
ACTIVSg200,1000,q,40,2403,1.206917982861e-03,4.058336073449e-04,4.315674753750e-03,1.460769446768e-02,1.025000000000e+00,0.166904,ok,
ACTIVSg200,1000,vmag,200,2403,3.425776470652e-04,5.331752216816e-05,3.781318283615e-04,2.749551826045e-03,1.025000000000e+00,0.166904,ok,
ACTIVSg200,1193.78,omega,40,2403,2.935178113018e-03,3.179176970341e-03,3.139447137508e-05,3.878538956967e-04,1.987500000000e+00,0.167314,ok,
ACTIVSg200,1193.78,p,40,2403,4.057727811066e-04,1.153768881545e-04,2.435719044956e-03,3.219008399319e-02,2.012500000000e+00,0.167314,ok,
ACTIVSg200,1193.78,q,40,2403,1.206867301069e-03,3.830896008629e-04,4.315493526743e-03,1.378903999538e-02,1.025000000000e+00,0.167314,ok,
ACTIVSg200,1193.78,vmag,200,2403,3.423410444469e-04,4.728083854936e-05,3.778706701061e-04,2.438243764598e-03,1.025000000000e+00,0.167314,ok,
ACTIVSg200,1425.1,omega,40,2403,2.901743590261e-03,3.127987376398e-03,3.103685792635e-05,3.816088569288e-04,1.987500000000e+00,0.164506,ok,
