t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
0.0019571083 0.0000000001 0.0000000000 0.0018183318 0.6420971953 0.1965936549 0.6614849292
0.0019712500 0.0000000000 0.0000000000 0.0000858678 0.6434284531 0.1967351881 0.6600105858
0.0019853917 0.0000000000 0.0000000000 0.0000040483 0.6447563805 0.1968849927 0.6585305395
0.0019995333 0.0000000000 0.0000000000 0.0000001908 0.6460809459 0.1970430525 0.6570448384
0.0020136750 0.0000000000 0.0000000000 0.0000000090 0.6474021177 0.1972093510 0.6555535307
0.0020278167 0.0000000000 0.0000000000 0.0000000004 0.6487198644 0.1973838718 0.6540566652
0.0020419583 0.0000000000 0.0000000000 0.0000000000 0.6500341543 0.1975665978 0.6525542907
0.0020561000 0.0000000000 0.0000000000 0.0000000000 0.6513449559 0.1977575121 0.6510464564
0.0020702417 0.0000000000 0.0000000000 0.0000000000 0.6526522376 0.1979565975 0.6495332119
0.0020843833 0.0000000000 0.0000000000 0.0000000000 0.6539559678 0.1981638362 0.6480146069
0.0020985250 0.0000000000 0.0000000000 0.0000000000 0.6552561149 0.1983792108 0.6464906915
0.0021126667 0.0000000001 0.0000000001 0.0000000001 0.6565526475 0.1986027032 0.6449615161
0.0021268083 0.0000000011 0.0000000011 0.0000000011 0.6578455338 0.1988342952 0.6434271312
0.0021409500 0.0000000238 0.0000000238 0.0000000238 0.6591347424 0.1990739686 0.6418875877
0.0021550917 0.0000005042 0.0000005042 0.0000005042 0.6604202417 0.1993217048 0.6403429369
0.0021692333 0.0000106963 0.0000106963 0.0000106963 0.6617020001 0.1995809734 0.6387932301
0.0021833750 0.0002268488 0.0002268488 0.0002268488 0.6629799861 0.1998578163 0.6372385191
0.0021975167 0.0047901114 0.0047901114 0.0047901114 0.6642541681 0.2001426676 0.6356788559
0.0022116583 0.0926415358 0.0926415358 0.0926415358 0.6655245146 0.2004355101 0.6341142927
0.0022258000 0.6841262785 0.6841262785 0.6841262785 0.6667909940 0.2007363263 0.6325448819
0.0022399417 0.9786975382 0.9786975382 0.9786975382 0.6680535748 0.2010450984 0.6309706764
0.0022540833 0.9989749620 0.9989749616 0.9989749620 0.6693122256 0.2013618086 0.6293917292
0.0022682250 0.9999516309 0.9999516237 0.9999516309 0.6705669147 0.2016864387 0.6278080936
0.0022823667 0.9999977197 0.9999975689 0.9999977197 0.6718176107 0.2020189705 0.6262198230
0.0022965083 0.9999998925 0.9999966938 0.9999998925 0.6730642820 0.2023593854 0.6246269712
0.0023106500 0.9999999949 0.9999321470 0.9999999949 0.6743068971 0.2027076647 0.6230295923
0.0023247917 0.9999999998 0.9985627340 0.9999999998 0.6755454247 0.2030637896 0.6214277406
0.0023389333 1.0000000000 0.9703724253 1.0000000000 0.6767798331 0.2034277409 0.6198214705
0.0023530750 1.0000000000 0.6069177581 1.0000000000 0.6780100910 0.2037994995 0.6182108367
0.0023672167 1.0000000000 0.0678480264 1.0000000000 0.6792361668 0.2041790458 0.6165958944
0.0023813583 1.0000000000 0.0034195341 1.0000000000 0.6804580292 0.2045663602 0.6149766986
0.0023955000 1.0000000000 0.0001617292 1.0000000000 0.6816756467 0.2049614228 0.6133533048
0.0024096417 1.0000000000 0.0000076253 1.0000000000 0.6828889879 0.2053642137 0.6117257688
0.0024237833 1.0000000000 0.0000003595 1.0000000000 0.6840980214 0.2057747126 0.6100941463
0.0024379250 1.0000000000 0.0000000169 1.0000000000 0.6853027159 0.2061928992 0.6084584936
0.0024520667 1.0000000000 0.0000000008 1.0000000000 0.6865030400 0.2066187530 0.6068188669
0.0024662083 1.0000000000 0.0000000000 1.0000000000 0.6876989622 0.2070522530 0.6051753229
0.0024803500 1.0000000000 0.0000000000 1.0000000000 0.6888904515 0.2074933786 0.6035279182
0.0024944917 1.0000000000 0.0000000000 1.0000000000 0.6900774763 0.2079421085 0.6018767099
0.0025086333 1.0000000000 0.0000000000 1.0000000000 0.6912600055 0.2083984214 0.6002217552
0.0025227750 1.0000000000 0.0000000000 1.0000000000 0.6924380078 0.2088622960 0.5985631113
0.0025369167 1.0000000000 0.0000000000 1.0000000000 0.6936114520 0.2093337107 0.5969008361
0.0025510583 1.0000000000 0.0000000000 1.0000000000 0.6947803069 0.2098126436 0.5952349871
0.0025652000 1.0000000000 0.0000000000 1.0000000000 0.6959445413 0.2102990728 0.5935656225
0.0025793417 1.0000000000 0.0000000000 1.0000000000 0.6971041241 0.2107929762 0.5918928003
0.0025934833 1.0000000000 0.0000000000 1.0000000000 0.6982590242 0.2112943315 0.5902165790
0.0026076250 1.0000000000 0.0000000000 1.0000000000 0.6994092104 0.2118031163 0.5885370171
0.0026217667 1.0000000000 0.0000000000 1.0000000000 0.7005546518 0.2123193080 0.5868541733
0.0026359083 1.0000000000 0.0000000000 1.0000000000 0.7016953173 0.2128428837 0.5851681066
0.0026500500 1.0000000000 0.0000000000 1.0000000000 0.7028311759 0.2133738205 0.5834788759
0.0026641917 1.0000000000 0.0000000000 1.0000000000 0.7039621967 0.2139120954 0.5817865407
0.0026783333 1.0000000000 0.0000000000 1.0000000000 0.7050883488 0.2144576852 0.5800911602
0.0026924750 1.0000000000 0.0000000000 1.0000000000 0.7062096014 0.2150105663 0.5783927941
0.0027066167 1.0000000000 0.0000000000 1.0000000000 0.7073259235 0.2155707153 0.5766915021
0.0027207583 1.0000000000 0.0000000000 1.0000000000 0.7084372844 0.2161381085 0.5749873441
0.0027349000 1.0000000000 0.0000000000 1.0000000000 0.7095436533 0.2167127220 0.5732803802
0.0027490417 1.0000000000 0.0000000000 1.0000000000 0.7106449995 0.2172945317 0.5715706706
0.0027631833 1.0000000000 0.0000000000 0.9999999999 0.7117412924 0.2178835136 0.5698582756
0.0027773250 1.0000000000 0.0000000000 0.9999999981 0.7128325013 0.2184796433 0.5681432558
0.0027914667 1.0000000000 0.0000000000 0.9999999587 0.7139185956 0.2190828964 0.5664256717
0.0028056083 1.0000000000 0.0000000000 0.9999991242 0.7149995449 0.2196932483 0.5647055841
0.0028197500 1.0000000000 0.0000000000 0.9999814222 0.7160753185 0.2203106742 0.5629830540
0.0028338917 1.0000000000 0.0000000000 0.9996060617 0.7171458861 0.2209351494 0.5612581423
0.0028480333 1.0000000000 0.0000000000 0.9917095195 0.7182112173 0.2215666487 0.5595309103
0.0028621750 1.0000000000 0.0000000000 0.8493768983 0.7192712817 0.2222051470 0.5578014191
0.0028763167 1.0000000000 0.0000000000 0.2100079191 0.7203280666 0.2228506191 0.5560697302
0.0028904583 1.0000000000 0.0000000000 0.0123767977 0.7213796666 0.2235030395 0.5543359051
0.0029046000 1.0000000000 0.0000000000 0.0005904248 0.7224259097 0.2241623826 0.5526000054
0.0029187417 1.0000000000 0.0000000000 0.0000278492 0.7234667661 0.2248286228 0.5508620927
0.0029328833 1.0000000000 0.0000000000 0.0000013129 0.7245022061 0.2255017343 0.5491222290
0.0029470250 1.0000000000 0.0000000000 0.0000000619 0.7255322000 0.2261816910 0.5473804761
0.0029611667 1.0000000000 0.0000000000 0.0000000029 0.7265567181 0.2268684671 0.5456368960
0.0029753083 1.0000000000 0.0000000000 0.0000000001 0.7275757308 0.2275620361 0.5438915509
0.0029894500 1.0000000000 0.0000000000 0.0000000000 0.7285892085 0.2282623718 0.5421445028
0.0030035917 0.9999999998 0.0000000000 0.0000000000 0.7295971219 0.2289694479 0.5403958141
0.0030177333 0.9999999966 0.0000000000 0.0000000000 0.7305994414 0.2296832376 0.5386455472
0.0030318750 0.9999999287 0.0000000000 0.0000000000 0.7315961376 0.2304037142 0.5368937643
0.0030460167 0.9999984883 0.0000000000 0.0000000000 0.7325871814 0.2311308511 0.5351405281
