t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
1.7000000000000001e-02,2.7764619309824531e+05,-1.1111578678584361e+05,-1.7071096143622388e+05,2.7910325148193393e+05,-1.2647700736488977e+05,-1.5259015992381354e+05,1.0000132567870088e+00,4.6949028903362772e-01,5.3153748113433130e+02,2.3336891992195088e+08,5.4880052502708372e+02
1.7500000000000002e-02,2.6856290278417838e+05,-5.7057598745605072e+04,-2.0712312262662826e+05,2.7061417562579416e+05,-7.7892905838303064e+04,-1.9516321988771050e+05,1.0000138005940291e+00,4.7341588775003413e-01,4.9812900577471703e+02,2.3495176258868539e+08,5.2024457330440612e+02
1.8000000000000002e-02,2.4493244571083187e+05,-7.5133012630238945e+03,-2.4114089146162022e+05,2.5381989530319130e+05,-2.4984339214078555e+04,-2.2966709774351763e+05,1.0000140488149669e+00,4.7812412287123773e-01,4.3848477101855883e+02,2.3712503927870148e+08,4.7665920520541573e+02
1.8499999999999999e-02,2.1732330429233605e+05,4.8400062920654222e+04,-2.6208510091554932e+05,2.2689195022819960e+05,2.7307200069271083e+04,-2.5716969161825444e+05,1.0000139664994834e+00,4.8300417193998502e-01,3.7162299087625155e+02,2.3973889697327247e+08,4.1300041904446829e+02
1.9000000000000000e-02,1.7769971728920157e+05,9.6948805120845383e+04,-2.7800870056101290e+05,1.9303338860927115e+05,8.0094223866099142e+04,-2.7456552487451240e+05,1.0000135720675027e+00,4.8741718487170232e-01,2.8361684223511611e+02,2.4206265297075415e+08,3.3781445546713906e+02
1.9500000000000000e-02,1.3575158311022155e+05,1.4738908724070163e+05,-2.8018091023642663e+05,1.5130081128245793e+05,1.2870598296191971e+05,-2.8322876753686718e+05,1.0000129086153167e+00,4.9063872553809118e-01,1.9311993209015145e+02,2.4433277346381795e+08,2.4764652995712075e+02
2.0000000000000000e-02,8.5283809207969505e+04,1.8771313157543898e+05,-2.7606132994110644e+05,1.0514258859671748e+05,1.7410445203062677e+05,-2.8096295129279105e+05,1.0000120857574033e+00,4.9237132351701079e-01,8.8424529804243278e+01,2.4550794054550982e+08,1.5147518373474153e+02
2.0500000000000001e-02,3.5156754501260104e+04,2.2599031687563602e+05,-2.5878508047127203e+05,5.4327719393947831e+04,2.1211070995134205e+05,-2.6958516559667327e+05,1.0000111988335967e+00,4.9217769214525425e-01,-1.2520005910131648e+01,2.4627173675137326e+08,4.7174347020258807e+01
2.1000000000000001e-02,-1.9379664982915132e+04,2.5199547555154661e+05,-2.3541799848144021e+05,2.3913633246242075e+03,2.4379996554046095e+05,-2.4783054718863632e+05,1.0000103956344144e+00,4.9028402038170021e-01,-1.1969476200535135e+02,2.4557080415348133e+08,-5.6311009813452245e+01
2.1500000000000002e-02,-7.0350713680193614e+04,2.7301885869161249e+05,-2.0080773431694895e+05,-5.0430681714062142e+04,2.6570584309415601e+05,-2.1801409172893671e+05,1.0000097653991473e+00,4.8674502922263257e-01,-2.1630617193396390e+02,2.4449434585502103e+08,-1.6021879403678426e+02
