t,Bus_Bus_1_Vm,Genrou_DV1_speed
4.5833299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.6250000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.6666700000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.7083300000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.7499999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.7916700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.8333300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.8749999999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.9166700000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.9583300000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
5.0000000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
5.0416700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
5.0833300000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
5.1249999999999996e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.1666699999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.2083299999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.2500000000000002e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.2916700000000005e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.3333299999999995e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.3749999999999998e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.4166700000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.4583300000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.5000000000000004e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.5416699999999997e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.5833299999999997e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.6250000000000000e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.6666700000000003e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.7083300000000003e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.7499999999999996e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.7916699999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.8333299999999999e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.8750000000000002e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.9166700000000005e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.9583299999999995e-01,1.0000004769999999e+00,9.9999994000000003e-01
5.9999999999999998e-01,1.0000004769999999e+00,9.9999994000000003e-01
6.0416700000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
6.0833300000000001e-01,1.0000004769999999e+00,9.9999994000000003e-01
6.1250000000000004e-01,1.0000004769999999e+00,9.9999994000000003e-01
6.1666699999999997e-01,1.0000004769999999e+00,9.9999994000000003e-01
6.2083299999999997e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.2500000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
6.2916700000000003e-01,1.0000004769999999e+00,1.0000000000000000e+00
