frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.066551934695e0,Z,1,2,Z_bc,7.882347441961e-4,1.155972879531e-2,1.158657170318e-2,8.609915391625e1,ohm/km
1.066551934695e0,Z,2,0,Z_ca,7.883503518931e-4,1.073794903831e-2,1.076684939184e-2,8.580103667776e1,ohm/km
1.066551934695e0,Z,2,1,Z_cb,7.882347441961e-4,1.155972879531e-2,1.158657170318e-2,8.609915391625e1,ohm/km
1.066551934695e0,Z,2,2,Z_cc,1.667993987808e-1,1.876327227161e-2,1.678514218587e-1,6.418223613367e0,ohm/km
1.066551934695e0,Y,0,0,Y_aa,0.000000000000e0,5.712900248130e-8,5.712900248130e-8,9.000000000000e1,S/km
1.066551934695e0,Y,0,1,Y_ab,0.000000000000e0,-1.703637887901e-8,1.703637887901e-8,-9.000000000000e1,S/km
1.066551934695e0,Y,0,2,Y_ac,0.000000000000e0,-9.879764830677e-9,9.879764830677e-9,-9.000000000000e1,S/km
1.066551934695e0,Y,1,0,Y_ba,0.000000000000e0,-1.703637887901e-8,1.703637887901e-8,-9.000000000000e1,S/km
1.066551934695e0,Y,1,1,Y_bb,0.000000000000e0,6.016967764943e-8,6.016967764943e-8,9.000000000000e1,S/km
1.066551934695e0,Y,1,2,Y_bc,0.000000000000e0,-1.703637887901e-8,1.703637887901e-8,-9.000000000000e1,S/km
1.066551934695e0,Y,2,0,Y_ca,0.000000000000e0,-9.879764830677e-9,9.879764830677e-9,-9.000000000000e1,S/km
1.066551934695e0,Y,2,1,Y_cb,0.000000000000e0,-1.703637887901e-8,1.703637887901e-8,-9.000000000000e1,S/km
1.066551934695e0,Y,2,2,Y_cc,0.000000000000e0,5.712900248130e-8,5.712900248130e-8,9.000000000000e1,S/km
1.080384660610e0,Z,0,0,Z_aa,1.668151124946e-1,1.899920242410e-2,1.678935717928e-1,6.497633675420e0,ohm/km
1.080384660610e0,Z,0,1,Z_ab,8.039317550040e-4,1.170223309096e-2,1.172981524074e-2,8.607001186236e1,ohm/km
