omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
417.522484692226,2.9050087020107345e-08,1.4203072294292583e-06,3.6765191750408534e-08,1.4158935874242398e-06,4.083398908566047e-08,1.4148477208055487e-06,4.0802714146096117e-08,1.415748167601417e-06,3.706443155059713e-08,1.4357513618244546e-06,3.1984539018546205e-07,2.068035848589976e-06
434.69021915296497,2.9411629173997647e-08,1.4785991997072226e-06,3.7028482324282826e-08,1.4740453109276756e-06,4.1083023444778134e-08,1.4729153187393166e-06,4.098823699791755e-08,1.4738338732303071e-06,3.76011308173403e-08,1.4946411294372556e-06,3.3458775784835236e-07,2.1428297045552837e-06
452.5638583669095,2.9799177761056338e-08,1.5392782562787375e-06,3.7311799712875755e-08,1.5345867336632043e-06,4.134991307972361e-08,1.5333647141390973e-06,4.11859968737671e-08,1.534298403737466e-06,3.8177807107188606e-08,1.5559393447412066e-06,3.498356336691253e-07,2.2201103119611367e-06
471.17242780167385,3.021422848242846e-08,1.6024412808432185e-06,3.761633961319213e-08,1.5976160078722846e-06,4.163568960001446e-08,1.5962927731461185e-06,4.139670109781684e-08,1.5972376547993386e-06,3.8797068297082164e-08,1.6197432915945015e-06,3.65582770182814e-07,2.2999569547657613e-06
490.5461463971736,3.065830441234394e-08,1.6681895060534844e-06,3.794324633676514e-08,1.6632360227666466e-06,4.1941390615509154e-08,1.6618008856483845e-06,4.162115024906957e-08,1.6627518165781103e-06,3.9461662358748626e-08,1.6861546254904775e-06,3.818199254969212e-07,2.3824535254201134e-06
510.7164756389469,3.113298938954971e-08,1.7366276000359777e-06,3.829352924044771e-08,1.731553334085913e-06,4.2268166587256934e-08,1.7299937592796093e-06,4.18604904852406e-08,1.7309440890969437e-06,4.017448761132558e-08,1.7552783306272149e-06,3.985352399844363e-07,2.4676880838436026e-06
531.7161706492817,3.163982111119967e-08,1.807864904726098e-06,3.8667799981127684e-08,1.802679579014421e-06,4.261708524140302e-08,1.8009808909466242e-06,4.2116139140181993e-08,1.8019221614698397e-06,4.093850217265494e-08,1.8272240383173106e-06,4.157136648768458e-07,2.555754405953278e-06
553.5793333791087,3.2180348829687154e-08,1.882014993566364e-06,3.9066126371845996e-08,1.8767308801283934e-06,4.2989269133153214e-08,1.8748759985289899e-06,4.2390184304691525e-08,1.8757976932333414e-06,4.17567941955202e-08,1.9021055220614038e-06,4.3333715213579445e-07,2.646751932260602e-06
576.3414679870473,3.275608239939885e-08,1.9591960754277047e-06,3.9487716466305334e-08,1.9538280483248112e-06,4.338582812268745e-08,1.9517974709137406e-06,4.2685586235727565e-08,1.9526869986019207e-06,4.263254085578588e-08,1.980041105020928e-06,4.5138458694479095e-07,2.7407865518725e-06
600.0395384955322,3.336846841454757e-08,2.039531127347883e-06,3.9930729559247824e-08,2.034096204870119e-06,4.3807853012023104e-08,2.0318684857788954e-06,4.300636340323556e-08,2.032711656907309e-06,4.356899549243706e-08,2.061153770047667e-06,4.698318427514245e-07,2.837971159042792e-06
624.7120288176508,3.401885981005171e-08,2.1231480828976755e-06,4.0392453757478494e-08,2.1176642394375917e-06,4.425640295484834e-08,2.1152171961679897e-06,4.3357404965909434e-08,2.1159994212925928e-06,4.456947166224684e-08,2.1455713291362824e-06,4.886518709953456e-07,2.9384262591619474e-06
650.3990052521697,3.470849945345841e-08,2.2101800854948626e-06,4.0870128359963574e-08,2.2046644692782008e-06,4.4732529919646454e-08,2.201976982074999e-06,4.374371957067993e-08,2.2026850567741365e-06,4.563735708833671e-08,2.233426657577694e-06,5.078148658265556e-07,3.0422806582294375e-06
677.1421815482412,3.543848285875698e-08,2.30076552071483e-06,4.13620958767904e-08,2.2952327896354034e-06,4.523727211792682e-08,2.2922864818559167e-06,4.416928813830347e-08,2.2929102447691237e-06,4.6776101361540466e-08,2.3248577016814907e-06,5.272886271724816e-07,3.1496715193674325e-06
704.9849866454446,3.620956468423124e-08,2.3950488942214704e-06,4.1868361166827064e-08,2.3895104196962547e-06,4.577141743139297e-08,2.386290402150767e-06,4.463609093377164e-08,2.386823439905268e-06,4.79890118982908e-08,2.420008295438762e-06,5.470383780361764e-07,3.2607466999115956e-06
