omega,re_Hmin_0,im_Hmin_0,re_Hmin_1,im_Hmin_1,re_Hmin_2,im_Hmin_2
1.3433211988067382e+04,9.77735788907474923e-01,-2.68252083761826576e-02,5.35104646138201967e-01,-4.82590371103607862e-01,9.76511121992541975e-01,-1.21100593672559265e-02
1.4393945976563442e+04,9.76986949747093547e-01,-2.79994426999982809e-02,5.06220210370755708e-01,-4.91384372885063037e-01,9.75870683027356689e-01,-1.21935790679743583e-02
1.5423390992434895e+04,9.76208772088148935e-01,-2.92321487091140031e-02,4.76234299116496063e-01,-4.99069237142073685e-01,9.75221392942683618e-01,-1.22624327587332882e-02
1.6526461200621790e+04,9.75399434294025536e-01,-3.05259993910514393e-02,4.45211056293270624e-01,-5.05503238319291670e-01,9.74563921021871726e-01,-1.23150778646737846e-02
1.7708422223726517e+04,9.74556452002440454e-01,-3.18828227216915172e-02,4.13233311543303949e-01,-5.10542445418267654e-01,9.73898509457373218e-01,-1.23489879788578061e-02
1.8974916278021654e+04,9.73679278898329614e-01,-3.33089706589417139e-02,3.80400820517010574e-01,-5.14047205098360660e-01,9.73227683645310759e-01,-1.23659030313214291e-02
2.0331989107167505e+04,9.72764619884926685e-01,-3.48053035549226175e-02,3.46837069036690759e-01,-5.15876706153918674e-01,9.72551420916863529e-01,-1.23620447848786785e-02
2.1786118842210701e+04,9.71811990434813588e-01,-3.63800688859659549e-02,3.12682425146638465e-01,-5.15901207637907477e-01,9.71872971040945499e-01,-1.23407178498275982e-02
2.3344246925629530e+04,9.70816290819716654e-01,-3.80303634691041975e-02,2.78106037116740257e-01,-5.13993323112463596e-01,9.71191065800895204e-01,-1.22941912771852551e-02
2.5013811247045676e+04,9.69777651296921617e-01,-3.97684855602348231e-02,2.43289169433088287e-01,-5.10047043402737876e-01,9.70510384289011263e-01,-1.22294902349251444e-02
2.6802781648779001e+04,9.68691856599643519e-01,-4.15953492941139591e-02,2.08441577828647778e-01,-5.03966565691129631e-01,9.69831381660582581e-01,-1.21423986942520434e-02
2.8719697970734982e+04,9.67557121503173523e-01,-4.35204014906536985e-02,1.73787567212153354e-01,-4.95680317775865797e-01,9.69157596487462469e-01,-1.20369697275066190e-02
3.0773710816235834e+04,9.66368013055221464e-01,-4.55436747300690947e-02,1.39575592750039695e-01,-4.85137260777703805e-01,9.68489087357523482e-01,-1.19079947186947477e-02
3.2974625233396029e+04,9.65120305320555927e-01,-4.76690400550917673e-02,1.06067012455739379e-01,-4.72317041956476058e-01,9.67827674228519008e-01,-1.17539775130916166e-02
3.5332947520558948e+04,9.63809695074994921e-01,-4.99008734909747731e-02,7.35346355052650391e-02,-4.57232017418096826e-01,9.67175594087081869e-01,-1.15739029255221837e-02
3.7859935379226117e+04,9.62432570720119229e-01,-5.22526570212571428e-02,4.22533586312914822e-02,-4.39930842669231881e-01,9.66536684104962629e-01,-1.13757561749531222e-02
4.0567651653889036e+04,9.60983188767284724e-01,-5.47288689490027513e-02,1.25060455089960054e-02,-4.20498977941111129e-01,9.65912862309191822e-01,-1.11587400659537983e-02
4.3469021915296398e+04,9.59453391312296566e-01,-5.73231956687345057e-02,-1.54225936919763496e-02,-3.99062547230271125e-01,9.65303649626819471e-01,-1.09115499362480439e-02
4.6577896162036755e+04,9.57839040067454905e-01,-6.00555381120458920e-02,-4.12726026914497640e-02,-3.75790684535952990e-01,9.64714415146065263e-01,-1.06488227626865967e-02
4.9909114934974983e+04,9.56131745995372762e-01,-6.29327406242732312e-02,-6.47938863037825358e-02,-3.50892340775512013e-01,9.64146348910583262e-01,-1.03726398456839841e-02
5.3478580160148224e+04,9.54322427127028972e-01,-6.59509733916063823e-02,-8.57570441045330811e-02,-3.24618572806578187e-01,9.63599935206926883e-01,-1.00747433664346575e-02
5.7303331058295655e+04,9.52403024813134325e-01,-6.91245488465568880e-02,-1.03973876404847065e-01,-2.97256603171089262e-01,9.63078372995063159e-01,-9.76514532146266490e-03
6.1401625483385491e+04,9.50362851716005763e-01,-7.24575244143412789e-02,-1.19291652507210036e-01,-2.69127234122898074e-01,9.62582332068115276e-01,-9.44417693137958314e-03
6.5793027078416912e+04,9.48191556877415187e-01,-7.59576300195100584e-02,-1.31606379773294202e-01,-2.40578308244004280e-01,9.62113745629135653e-01,-9.11623570836288949e-03
7.0498498664544430e+04,9.45877596180396574e-01,-7.96315056736037752e-02,-1.40866566917008829e-01,-2.11977198243000819e-01,9.61674012950839874e-01,-8.78521938163707994e-03
7.5540502309326941e+04,9.43405653826958401e-01,-8.34713161066322484e-02,-1.47074453592543564e-01,-1.83703985700900907e-01,9.61260297090276605e-01,-8.44141666048989214e-03
8.0943106551789780e+04,9.40763339629475226e-01,-8.74885737050956624e-02,-1.50299096210192634e-01,-1.56136514943749694e-01,9.60874853753167613e-01,-8.09491383087684868e-03
8.6732101296147317e+04,9.37936590736043740e-01,-9.16873450267371437e-02,-1.50668792045893951e-01,-1.29642930567337250e-01,9.60518425024605937e-01,-7.74924846257613043e-03
9.2935120922645452e+04,9.34906432858936043e-01,-9.60646648538324988e-02,-1.48370181730091616e-01,-1.04569926528278817e-01,9.60186840985724488e-01,-7.40222114067787262e-03
9.9581776203205955e+04,9.31659249315248128e-01,-1.00621377997491934e-01,-1.43648532876561763e-01,-8.12307528615976993e-02,9.59882257976982123e-01,-7.05591794683374518e-03
1.0670379565158622e+05,9.28177201673483943e-01,-1.05365222142888987e-01,-1.36798895921799668e-01,-5.98925095548919900e-02,9.59604001667240136e-01,-6.72089478259363382e-03
1.1433517698280315e+05,9.24441604365363601e-01,-1.10283634459205915e-01,-1.28155852601961107e-01,-4.07721041894040029e-02,9.59348944250219882e-01,-6.38850025184256598e-03
1.2251234940483197e+05,9.20438731514896635e-01,-1.15381559557270391e-01,-1.18086898793911349e-01,-2.40221633967364276e-02,9.59121438603647736e-01,-6.06851491648244257e-03
1.3127434751729239e+05,9.16142625796041221e-01,-1.20657211523862579e-01,-1.06974904582524441e-01,-9.72952366253194284e-03,9.58913263473422317e-01,-5.76688965562877770e-03
1.4066299764724923e+05,9.11539194418363952e-01,-1.26089041761780180e-01,-9.52089621670197117e-02,2.08508931804091135e-03,9.58725978403173196e-01,-5.46949118668677708e-03
1.5072311751161952e+05,9.06605988196795942e-01,-1.31679418912262619e-01,-8.31679249827254191e-02,1.14728110217802576e-02,9.58556036154942448e-01,-5.18937154276868928e-03
1.6150273015929660e+05,9.01332528434327207e-01,-1.37413078296279190e-01,-7.12085414624870072e-02,1.85472484590633903e-02,9.58409966547127734e-01,-4.92159310025219732e-03
1.7305329321426636e+05,8.95692786704763488e-01,-1.43274525148878229e-01,-5.96502909433482553e-02,2.34796568803856166e-02,9.58278261989685909e-01,-4.66513875440313641e-03
1.8542994451403045e+05,8.89666864975597993e-01,-1.49250204764794780e-01,-4.87671507623219785e-02,2.64895621379194618e-02,9.58157840577830155e-01,-4.42218874717570376e-03
1.9869176531592174e+05,8.83247470149600700e-01,-1.55331189099942146e-01,-3.87793555357262912e-02,2.78333107073620856e-02,9.58059413417653438e-01,-4.19967153000366800e-03
2.1290206232774997e+05,8.76402156389666898e-01,-1.61492246395698702e-01,-2.98469301081478143e-02,2.77884654558064083e-02,9.57964331360631416e-01,-3.99428735421031300e-03
2.2812866990908416e+05,8.69120351497114751e-01,-1.67704087683827247e-01,-2.20706418867830934e-02,2.66427514079260672e-02,9.57875044380335106e-01,-3.79681646274754314e-03
2.4444427388576101e+05,8.61403571202781659e-01,-1.73950766664611289e-01,-1.54918747634994608e-02,2.46806980680310400e-02,9.57808680911945043e-01,-3.61161249901792436e-03
2.6192675852338222e+05,8.53218524891960706e-01,-1.80200922953666298e-01,-1.00973512356633162e-02,2.21688280869340483e-02,9.57741545795190774e-01,-3.43638304788265736e-03
2.8065957831611275e+05,8.44563493699839851e-01,-1.86441774537574878e-01,-5.82759207804374370e-03,1.93483350611476299e-02,9.57686264887893546e-01,-3.28452339822324357e-03
3.0073215636556060e+05,8.35420366147438975e-01,-1.92634694486414682e-01,-2.58637521037661166e-03,1.64251187421066598e-02,9.57630869605090140e-01,-3.14805371326926098e-03
3.2224031125143263e+05,8.25788269427346400e-01,-1.98736918982072852e-01,-2.51082519374269848e-04,1.35664478628506682e-02,9.57578714561847288e-01,-3.01263618617669815e-03
