t,Bus_2_Vm,Bus_3_Vm,GenClassical_genrou_2_1_speed,GenClassical_genrou_3_1_speed
8.0000000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000002384185700e+00
8.0416699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,1.0000002384185700e+00
8.0833299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000002384185700e+00
8.1250000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,1.0000001192092800e+00
8.1666700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
8.2083300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
8.2499999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,1.0000001192092800e+00
8.2916699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000001192092800e+00
8.3333299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000001192092800e+00
8.3750000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
8.4166700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
8.4583299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
8.4999999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000000000000000e+00
8.5416700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,9.9999994039535500e-01
8.5833300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,9.9999994039535500e-01
8.6250000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,9.9999994039535500e-01
8.6666699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,9.9999988079071001e-01
8.7083299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,9.9999988079071001e-01
8.7500000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,9.9999988079071001e-01
8.7916700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,9.9999982118606501e-01
8.8333300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,9.9999982118606501e-01
8.8749999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999982118606501e-01
8.9166699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999982118606501e-01
8.9583299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999976158142001e-01
9.0000000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,9.9999976158142001e-01
9.0416700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,9.9999976158142001e-01
9.0833299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,9.9999976158142001e-01
9.1249999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,9.9999976158142001e-01
9.1666700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,9.9999976158142001e-01
9.2083300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,9.9999976158142001e-01
9.2500000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,9.9999976158142001e-01
9.2916699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,9.9999976158142001e-01
9.3333299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,9.9999982118606501e-01
9.3750000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,9.9999982118606501e-01
9.4166700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,9.9999982118606501e-01
9.4583300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,9.9999982118606501e-01
9.4999999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,9.9999988079071001e-01
