Time,Bus1_Vm,Bus2_Vm,Bus3_Vm,Gen1_Speed,Gen2_Speed
6.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
6.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
