case,mu,cpu,trial_1_seconds,trial_2_seconds,trial_3_seconds,trial_4_seconds,trial_5_seconds,trial_6_seconds,trial_7_seconds,cpu_seconds,status,notes
ACTIVSg2000,34.5511,14,0.560468,0.545373,0.526317,0.554165,0.566084,0.539185,0.592345,0.554165,ok,
ACTIVSg2000,41.2463,14,0.602946,0.628309,0.627578,0.570019,0.602722,0.614266,0.618487,0.614266,ok,
ACTIVSg2000,49.2388,14,0.600209,0.610899,0.613257,0.613708,0.639558,0.645882,0.583078,0.613257,ok,
ACTIVSg2000,58.7802,14,0.649684,0.584875,0.613469,0.603568,0.570883,0.584197,0.609264,0.603568,ok,
ACTIVSg2000,60,14,0.595652,0.647108,0.618929,0.598593,0.676571,0.697845,0.63608,0.63608,ok,
ACTIVSg2000,70.1704,14,0.666982,0.674172,0.660397,0.652303,0.663299,0.633633,0.661026,0.661026,ok,
ACTIVSg2000,83.7678,14,0.651248,0.679973,0.711568,0.683633,0.720162,0.630659,0.66334,0.679973,ok,
ACTIVSg2000,100,14,0.743556,0.726345,0.780989,0.697982,0.734541,0.772718,0.735893,0.735893,ok,
ACTIVSg2000,119.378,14,0.828123,0.800983,0.771098,0.811411,0.779538,0.823315,0.80587,0.80587,ok,
ACTIVSg2000,142.51,14,0.81878,0.840398,0.780548,0.764062,0.768007,0.786947,0.845302,0.786947,ok,
ACTIVSg2000,170.125,14,0.763936,0.846079,0.800992,0.856454,0.796624,0.811871,0.798923,0.800992,ok,
ACTIVSg2000,203.092,14,0.970191,0.934515,0.923364,0.963021,0.999801,0.891378,0.923101,0.934515,ok,
ACTIVSg2000,240,14,0.898204,0.854484,0.854254,0.877689,0.895069,0.901078,0.910487,0.895069,ok,
ACTIVSg2000,242.446,14,0.94776,0.939318,0.895164,0.870984,0.94764,1.02666,0.988683,0.94764,ok,
ACTIVSg2000,289.427,14,0.953125,0.892378,1.03458,0.931984,1.06812,0.971663,1.01284,0.971663,ok,
ACTIVSg2000,345.511,14,1.00172,1.09666,1.1052,1.03993,1.03146,1.11802,1.0148,1.03993,ok,
ACTIVSg2000,412.463,14,1.11716,1.19675,1.40477,1.36671,1.08396,1.16529,1.0918,1.16529,ok,
ACTIVSg2000,492.388,14,1.67865,1.5563,1.27602,1.42546,1.51089,1.30194,1.33053,1.42546,ok,
ACTIVSg2000,587.802,14,1.50001,1.57982,1.52485,1.39853,1.46157,1.53542,1.55197,1.52485,ok,
ACTIVSg2000,701.704,14,1.50225,1.3115,1.46081,1.5763,1.41134,1.42636,1.45543,1.45543,ok,
ACTIVSg2000,837.678,14,1.78223,1.56056,1.72555,1.71784,1.67712,1.74057,1.71314,1.71784,ok,
ACTIVSg2000,1000,14,1.79226,1.88325,1.78383,1.70347,1.77784,1.80232,1.98023,1.79226,ok,
ACTIVSg2000,1193.78,14,2.22748,2.20987,2.13756,2.33439,2.20098,2.108,2.35468,2.20987,ok,
ACTIVSg2000,1425.1,14,2.41575,2.6029,2.2074,2.17055,2.21232,2.09795,2.31931,2.21232,ok,
ACTIVSg2000,1701.25,14,2.17394,2.33318,2.55676,2.38926,2.30545,2.22406,2.23263,2.30545,ok,
ACTIVSg2000,2030.92,14,2.40478,2.53144,3.42115,3.33996,2.30767,2.47993,2.47168,2.47993,ok,
ACTIVSg2000,2424.46,14,4.54698,3.68525,4.94416,3.26924,4.24856,3.02981,2.91858,3.68525,ok,
