t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
2.8500000000000001e-02,-8.0659361759841646e+04,-1.9446278997580695e+05,2.7483673065492243e+05,-9.9441183656392299e+04,-1.7966755207308609e+05,2.8111852600942214e+05,-1.3945424847923661e+02,-4.1299734228693353e+02,5.5824030020503812e+02
2.9000000000000001e-02,-2.9327655784197112e+04,-2.3104777431985602e+05,2.5606361409370915e+05,-4.8439245496177711e+04,-2.1687487137756951e+05,2.6835414131147612e+05,-3.5252819628657136e+01,-4.7715668770369160e+02,5.2134822377264175e+02
2.9500000000000002e-02,2.6535273301866964e+04,-2.5405721174314705e+05,2.3347038220217396e+05,3.9673697016534725e+03,-2.4740941059402973e+05,2.4516120028759007e+05,6.9277254380169353e+01,-5.2701709473182655e+02,4.6466906289501787e+02
2.9999999999999999e-02,7.6472334355616273e+04,-2.7511430378977075e+05,1.9615475378814893e+05,5.6467416431340054e+04,-2.6849719857711939e+05,2.1383205099971921e+05,1.7167227485677310e+02,-5.5916687379181360e+02,3.9043028621233407e+02
3.0499999999999999e-02,1.2620966804709269e+05,-2.8314195226103446e+05,1.5498743776180717e+05,1.0703430718241562e+05,-2.7991368372315814e+05,1.7505730085047954e+05,2.6846374292318046e+02,-5.6804973750250406e+02,3.0510531147011829e+02
3.1000000000000000e-02,1.7329006379998208e+05,-2.7838402216569748e+05,1.1052325133247780e+05,1.5349175781949237e+05,-2.8224976961772505e+05,1.2942320340505603e+05,3.5504181524737112e+02,-5.5984937643553121e+02,2.0630566103721594e+02
3.1500000000000000e-02,2.0967012766435993e+05,-2.7016867079441820e+05,5.6585854160662871e+04,1.9480767383533242e+05,-2.7375408152213099e+05,7.9916529393092889e+04,4.2922371532254414e+02,-5.3162334057915916e+02,1.0123809298551561e+02
3.2000000000000001e-02,2.4231034169712890e+05,-2.4733274666114181e+05,5.3917079269890064e+03,2.2920847040330101e+05,-2.5574172492747579e+05,2.7268864959554579e+04,4.8877843019136481e+02,-4.8179530505509422e+02,-6.4278123921009431e+00
3.2500000000000001e-02,2.6635616436196229e+05,-2.1569509994132779e+05,-4.6651941641183519e+04,2.5519031063666084e+05,-2.2926834537239550e+05,-2.6574778513825055e+04,5.3015430779864153e+02,-4.1845180915120375e+02,-1.1598714861133230e+02
3.3000000000000002e-02,2.7741341055374220e+05,-1.8128748795196234e+05,-1.0056428374013705e+05,2.7251795839508582e+05,-1.9376104105918616e+05,-7.8946363302316182e+04,5.5312557882251508e+02,-3.3866654155285505e+02,-2.1966744424912898e+02
3.3500000000000002e-02,2.8293716513508523e+05,-1.3460542681981440e+05,-1.4613875086169355e+05,2.8002314915552782e+05,-1.5192915860624975e+05,-1.2894394850297456e+05,5.5701863209531473e+02,-2.4538575381427390e+02,-3.1594409002263484e+02
3.4000000000000002e-02,2.7668315949087928e+05,-8.5601430019240302e+04,-1.8897655997625148e+05,2.7741651737161539e+05,-1.0493090374996395e+05,-1.7433352162656627e+05,5.4009389785226006e+02,-1.4684457026031868e+02,-4.0201364294213408e+02
3.4500000000000003e-02,2.5859882048863234e+05,-3.6157234710847893e+04,-2.2659699977586660e+05,2.6540169220325514e+05,-5.3435198493161857e+04,-2.1324027732634445e+05,5.0486806266440675e+02,-4.0301100113110436e+01,-4.7242251331250958e+02
3.5000000000000003e-02,2.3551882095890705e+05,2.0012900748074422e+04,-2.5222648240840834e+05,2.4364603873829634e+05,-7.9556976079084939e+02,-2.4496514376288038e+05,4.5185695194664680e+02,6.7490981196275868e+01,-5.2688196227149592e+02
3.5500000000000004e-02,2.0097785337215758e+05,7.1352084411498043e+04,-2.7220784572339040e+05,2.1326666110487896e+05,5.2049982383628412e+04,-2.6786759348215017e+05,3.8181184291449671e+02,1.7047666504712171e+02,-5.6296217116613684e+02
3.6000000000000004e-02,1.5910845985840593e+05,1.2000196975847804e+05,-2.8235898562501726e+05,1.7566220523517608e+05,1.0353536961379231e+05,-2.8111142094493395e+05,2.9948706257165964e+02,2.7051838206211835e+02,-5.7815233597242036e+02
3.6499999999999998e-02,1.1485240489489071e+05,1.6846665488435861e+05,-2.7966346269854298e+05,1.3140685934857788e+05,1.5060761699184243e+05,-2.8471492652079172e+05,2.0597821402024442e+02,3.5949081566299600e+02,-5.7362455777192838e+02
3.6999999999999998e-02,6.2759112616644787e+04,2.0623951346981223e+05,-2.7059266225118475e+05,8.2717272895740141e+04,1.9278579453787164e+05,-2.7803191632993054e+05,1.0465956050699083e+02,4.3464548844937468e+02,-5.4878746981569748e+02
3.7499999999999999e-02,9.9417994937335661e+03,2.3854686875982292e+05,-2.5043290685050143e+05,3.1230795799062227e+04,2.2830111222473523e+05,-2.6142669324106636e+05,8.7136436998700428e-01,4.9706146570288223e+02,-5.0380625907003872e+02
3.7999999999999999e-02,-4.1475992733256673e+04,2.6463802326909616e+05,-2.1984642393928120e+05,-2.1739102079521981e+04,2.5512039732253127e+05,-2.3583754395096813e+05,-1.0404236746763236e+02,5.3972120295193770e+02,-4.4174370832752970e+02
