segment,phase,t,h,accepted_steps,residual_evals,jacobian_evals,error_test_failures
2,step,2.2945648233237583,0.020070292745779404,117,166,14,1
2,step,2.3146351160695375,0.020070292745779404,118,167,14,1
2,step,2.3547757015610964,0.040140585491558807,119,169,14,1
2,step,2.3949162870526552,0.040140585491558807,120,170,14,1
2,step,2.4350568725442141,0.040140585491558807,121,172,14,1
2,step,2.471183399486617,0.036126526942402926,122,174,14,1
2,step,2.50730992642902,0.036126526942402926,123,176,14,1
2,step,2.530714762605704,0.023404836176684207,124,186,15,2
2,step,2.5541195987823881,0.023404836176684207,125,187,15,2
2,step,2.5775244349590722,0.023404836176684207,126,188,15,2
2,step,2.598588787518088,0.021064352559015787,127,191,15,2
2,step,2.6175467048212022,0.018957917303114209,128,194,15,2
2,step,2.6365046221243165,0.018957917303114209,129,197,15,2
2,step,2.6554625394274307,0.018957917303114209,130,201,15,2
2,step,2.6602020187532092,0.0047394793257785521,131,207,17,2
2,step,2.6696809774047661,0.0094789586515571043,132,209,18,2
2,step,2.6720507170676555,0.0023697396628892761,133,218,20,2
2,step,2.676790196393434,0.0047394793257785521,134,220,21,2
2,step,2.6815296757192124,0.0047394793257785521,135,221,21,2
2,step,2.6862691550449909,0.0047394793257785521,136,223,21,2
2,step,2.6910086343707693,0.0047394793257785521,137,224,21,2
2,step,2.6957481136965478,0.0047394793257785521,138,225,21,2
2,step,2.7004875930223262,0.0047394793257785521,139,226,21,2
2,step,2.7052270723481047,0.0047394793257785521,140,228,21,2
2,step,2.7099665516738831,0.0047394793257785521,141,231,21,2
2,step,2.7147060309996616,0.0047394793257785521,142,232,21,2
2,step,2.7241849896512185,0.0094789586515571043,143,234,22,2
2,step,2.7336639483027754,0.0094789586515571043,144,235,22,2
2,step,2.7431429069543323,0.0094789586515571043,145,236,22,2
2,step,2.7526218656058892,0.0094789586515571043,146,237,22,2
2,step,2.7621008242574461,0.0094789586515571043,147,238,22,2
2,step,2.7810587415605603,0.018957917303114209,148,240,22,2
2,step,2.8000166588636746,0.018957917303114209,149,242,23,2
2,step,2.8189745761667888,0.018957917303114209,150,243,23,2
2,step,2.8379324934699031,0.018957917303114209,151,244,23,2
2,step,2.8568904107730173,0.018957917303114209,152,245,23,2
2,step,2.8948062453792458,0.037915834606228417,153,247,23,2
2,step,2.9289304965248513,0.034124251145605577,154,249,23,2
2,step,2.9630547476704567,0.034124251145605577,155,250,23,2
2,step,2.9971789988160622,0.034124251145605577,156,252,23,2
2,step,3.0313032499616677,0.034124251145605577,157,253,23,2
2,step,3.0654275011072731,0.034124251145605577,158,255,23,2
2,step,3.0995517522528786,0.034124251145605577,159,257,23,2
2,step,3.1302635782839237,0.030711826031045022,160,259,23,2
2,step,3.1609754043149687,0.030711826031045022,161,261,23,2
2,step,3.1885343104160424,0.027558906101073598,162,263,23,2
2,step,3.2132668784006189,0.024732567984576608,163,265,23,2
2,step,3.2379994463851953,0.024732567984576608,164,267,23,2
2,step,3.2598967664823792,0.021897320097184099,165,269,23,2
2,step,3.2817940865795632,0.021897320097184099,166,270,23,2
2,step,3.3036914066767471,0.021897320097184099,167,271,23,2
2,step,3.325588726773931,0.021897320097184099,168,272,23,2
2,step,3.347486046871115,0.021897320097184099,169,275,23,2
2,step,3.3624008373034484,0.014914790432333364,170,281,23,3
2,step,3.3732014750997017,0.010800637796253301,171,287,24,4
2,step,3.384002112895955,0.010800637796253301,172,288,24,4
2,step,3.3948027506922083,0.010800637796253301,173,289,24,4
2,step,3.4056033884884616,0.010800637796253301,174,290,24,4
2,step,3.4272046640809681,0.021601275592506602,175,292,24,4
2,step,3.4488059396734747,0.021601275592506602,176,293,24,4
2,step,3.4704072152659813,0.021601275592506602,177,295,24,4
2,step,3.4920084908584879,0.021601275592506602,178,296,24,4
2,step,3.5136097664509944,0.021601275592506602,179,297,24,4
2,step,3.535211042043501,0.021601275592506602,180,299,24,4
2,step,3.5568123176360076,0.021601275592506602,181,300,24,4
2,step,3.5784135932285142,0.021601275592506602,182,301,24,4
2,step,3.6000148688210207,0.021601275592506602,183,303,24,4
2,step,3.6216161444135273,0.021601275592506602,184,305,24,4
2,step,3.6432174200060339,0.021601275592506602,185,307,25,4
2,step,3.6648186955985405,0.021601275592506602,186,308,25,4
2,step,3.686419971191047,0.021601275592506602,187,309,25,4
2,step,3.7080212467835536,0.021601275592506602,188,310,25,4
2,step,3.7296225223760602,0.021601275592506602,189,312,25,4
2,step,3.7512237979685668,0.021601275592506602,190,313,25,4
2,step,3.7728250735610733,0.021601275592506602,191,314,25,4
2,step,3.7944263491535799,0.021601275592506602,192,315,25,4
2,step,3.8160276247460865,0.021601275592506602,193,316,25,4
2,step,3.8354687727793424,0.019441148033255942,194,318,25,4
2,step,3.8549099208125983,0.019441148033255942,195,319,25,4
2,step,3.8743510688458542,0.019441148033255942,196,320,25,4
2,step,3.8937922168791101,0.019441148033255942,197,321,25,4
2,step,3.9132333649123661,0.019441148033255942,198,322,25,4
2,step,3.932674512945622,0.019441148033255942,199,323,25,4
2,step,3.9521156609788779,0.019441148033255942,200,327,25,4
2,step,3.9715568090121338,0.019441148033255942,201,329,25,4
2,step,3.9909979570453897,0.019441148033255942,202,330,25,4
2,step,4.0104391050786461,0.019441148033255942,203,332,25,4
2,step,4.0298802531119025,0.019441148033255942,204,334,25,4
2,step,4.0493214011451588,0.019441148033255942,205,336,25,4
2,step,4.0687625491784152,0.019441148033255942,206,338,25,4
2,step,4.0882036972116715,0.019441148033255942,207,339,25,4
2,step,4.1076448452449279,0.019441148033255942,208,340,25,4
2,step,4.1270859932781843,0.019441148033255942,209,341,25,4
2,step,4.1465271413114406,0.019441148033255942,210,342,25,4
2,step,4.165968289344697,0.019441148033255942,211,343,25,4
2,step,4.1854094373779533,0.019441148033255942,212,347,26,4
2,step,4.2004477666692068,0.01503832929125376,213,349,26,4
2,step,4.2154860959604603,0.01503832929125376,214,350,26,4
2,step,4.2305244252517138,0.01503832929125376,215,351,26,4
2,step,4.2455627545429673,0.01503832929125376,216,352,26,4
2,step,4.2756394131254751,0.030076658582507521,217,354,26,4
2,step,4.3025338708137646,0.02689445768828979,218,356,26,4
2,step,4.3294283285020541,0.02689445768828979,219,357,26,4
2,step,4.3536333404215153,0.024205011919460812,220,359,26,4
2,step,4.3778383523409765,0.024205011919460812,221,361,26,4
2,step,4.398481203978756,0.020642851637779059,222,364,26,4
2,step,4.4191240556165354,0.020642851637779059,223,366,26,4
2,step,4.4397669072543149,0.020642851637779059,224,367,26,4
2,step,4.4604097588920943,0.020642851637779059,225,368,26,4
2,step,4.4810526105298738,0.020642851637779059,226,369,26,4
2,step,4.5016954621676533,0.020642851637779059,227,370,26,4
2,step,4.5223383138054327,0.020642851637779059,228,371,26,4
2,step,4.5429811654432122,0.020642851637779059,229,372,26,4
2,step,4.5636240170809916,0.020642851637779059,230,373,26,4
2,step,4.5842668687187711,0.020642851637779059,231,379,27,4
2,step,4.6024073184033538,0.018140449684582501,232,381,27,4
2,step,4.6205477680879365,0.018140449684582501,233,382,27,4
2,step,4.6459872916556924,0.025439523567755876,234,386,28,5
2,step,4.6714268152234482,0.025439523567755876,235,387,28,5
2,step,4.696866338791204,0.025439523567755876,236,390,28,5
2,step,4.7223058623589598,0.025439523567755876,237,392,28,5
2,step,4.7477453859267156,0.025439523567755876,238,394,29,5
2,step,4.7731849094944714,0.025439523567755876,239,395,29,5
2,step,4.7986244330622272,0.025439523567755876,240,396,29,5
2,step,4.8495034801977388,0.050879047135511751,241,398,30,5
2,step,4.8952946226196996,0.045791142421960578,242,400,30,5
2,step,4.927048996317235,0.031754373697535219,243,403,30,6
2,step,4.9588033700147705,0.031754373697535219,244,405,30,6
2,step,4.9905577437123059,0.031754373697535219,245,406,30,6
2,step,5.0223121174098413,0.031754373697535219,246,407,30,6
2,step,5.0540664911073767,0.031754373697535219,247,408,30,6
2,step,5.0858208648049121,0.031754373697535219,248,409,30,6
2,step,5.1294177264786374,0.043596861673725035,249,413,30,7
2,step,5.1730145881523626,0.043596861673725035,250,414,30,7
2,step,5.2166114498260878,0.043596861673725035,251,415,30,7
2,step,5.260208311499813,0.043596861673725035,252,416,30,7
2,step,5.3038051731735383,0.043596861673725035,253,417,30,7
2,step,5.3474020348472635,0.043596861673725035,254,418,30,7
2,step,5.3909988965209887,0.043596861673725035,255,420,30,7
2,step,5.434595758194714,0.043596861673725035,256,422,30,7
2,step,5.4738175519857091,0.039221793790995149,257,424,30,7
2,step,5.5130393457767042,0.039221793790995149,258,425,30,7
2,step,5.5522611395676993,0.039221793790995149,259,426,30,7
2,step,5.5914829333586944,0.039221793790995149,260,427,30,7
2,step,5.6307047271496895,0.039221793790995149,261,428,30,7
2,step,5.6699265209406846,0.039221793790995149,262,429,30,7
2,step,5.7091483147316797,0.039221793790995149,263,431,30,7
2,step,5.7483701085226748,0.039221793790995149,264,433,30,7
2,step,5.7875919023136699,0.039221793790995149,265,435,30,7
2,step,5.8228915167255657,0.035299614411895636,266,437,30,7
2,step,5.8581911311374615,0.035299614411895636,267,438,30,7
2,step,5.8788456971763861,0.020654566038924349,268,442,31,8
2,step,5.8995002632153106,0.020654566038924349,269,443,31,8
2,step,5.9180893726503427,0.018589109435031916,270,445,31,8
2,step,5.9366784820853749,0.018589109435031916,271,446,31,8
2,step,5.955267591520407,0.018589109435031916,272,447,31,8
2,step,5.9738567009554391,0.018589109435031916,273,448,31,8
2,step,6.0110349198255033,0.037178218870063832,274,450,31,8
2,step,6.0444953168085611,0.033460396983057451,275,452,31,8
2,step,6.0779557137916189,0.033460396983057451,276,453,31,8
2,step,6.1114161107746767,0.033460396983057451,277,454,31,8
2,step,6.1448765077577345,0.033460396983057451,278,455,31,8
2,step,6.1783369047407923,0.033460396983057451,279,456,31,8
2,step,6.2117973017238501,0.033460396983057451,280,458,31,8
2,step,6.2452576987069079,0.033460396983057451,281,459,31,8
2,step,6.2787180956899658,0.033460396983057451,282,460,31,8
2,step,6.3121784926730236,0.033460396983057451,283,461,31,8
2,step,6.3456388896560814,0.033460396983057451,284,462,31,8
2,step,6.3790992866391392,0.033460396983057451,285,464,31,8
2,step,6.412559683622197,0.033460396983057451,286,465,31,8
2,step,6.4460200806052548,0.033460396983057451,287,466,31,8
2,step,6.4794804775883126,0.033460396983057451,288,467,31,8
